연도,배추생산량(톤),양파생산량(톤),무생산량(톤),감자생산량(톤) ,쌀생산량(MT)
2010,2079086,1411646,1039345,616707,5810817
2011,2946508,1520016,1491747,622202,5615916
2012,2001642,1195737,1070208,607534,5405155
2013,2299251,1294009,1243272,727438,5631689
2014,2538804,1589957,1296970,590532,5637682
2015,2644402,1093932,1249327,537738,5771026
2016,1793391,1298749,1012162,555670,5624607
2017,2395686,1144493,1158979,466755,5285551
2018,2391946,1520969,1234561,548065,5195437
2019,1859705,1594450,1110874,690419,5016083
2020,2242640,1168227,1178631,553194,4713162
2021,2017507,1576752,1172345,549878,5211037
